url,template,kw_primary,h1,title,meta_len,meta
/,home,casa dell'acqua,Case dell'Acqua: produttore italiano di erogatori con osmosi inversa,Case dell'Acqua Artide | Produttore Italiano,140,"Artide progetta e produce Case dell'Acqua ed erogatori con osmosi inversa per comuni, aziende e mense. Garanzia a vita, manutenzione attiva."
/aiaq,certification,osmosi inversa,Artide membro AIAQ: Associazione Acque di Qualità,Artide AIAQ | Acque di Qualità Italia,131,"Artide è iscritta all'AIAQ (Associazione Acque Italiane di Qualità), a tutela degli standard di osmosi inversa e trattamento acque."
/assistenza,service,manutenzione case dell'acqua,Assistenza case dell'acqua: numero verde e supporto,Assistenza Case dell'Acqua | Artide,126,"Assistenza case dell'acqua Artide: numero verde, ticket online, tecnici in sede entro 24h. Knowledge base con guide operative."
/automazione,service,casa dell'acqua,Automazione industriale per case dell'acqua,Automazione Case dell'Acqua | Artide,124,"Automazione industriale Artide per case dell'acqua: PLC, sensoristica, controllo di processo con partner Schneider Electric."
/casa-dell-acqua,product,casa dell'acqua,Casa dell'Acqua: erogatori pubblici con osmosi inversa,Casa dell'Acqua | Erogatori Pubblici Artide,139,"Case dell'acqua Artide per comuni e aziende: osmosi inversa, acqua refrigerata liscia e gassata, telecontrollo integrato. Scopri i modelli."
/casa-dell-acqua-collezione,product,casa dell'acqua,Collezione Case dell'Acqua Artide: oltre 13 modelli,Collezione Case dell'Acqua | Modelli Artide,144,"Oltre 13 modelli di case dell'acqua: urbane, compatte, a incasso, per mense e condomini. Ogni modello è personalizzabile su capitolato comunale."
/ce,certification,casa dell'acqua,Marcatura CE sulle case dell'acqua Artide,Marcatura CE | Case dell'Acqua Artide,130,"Tutti i prodotti Artide — case dell'acqua, erogatori, totem — sono conformi alla marcatura CE secondo le direttive UE applicabili."
/certificazioni,hub,casa dell'acqua,Certificazioni Artide per case dell'acqua ed erogatori,Certificazioni Artide | Case dell'Acqua,130,"Certificazioni Artide: ISO 9001, 14001, 22000, CE, MOCA, RoHS, OSA, AIAQ, Albo Gestori Ambientali. Qualità e sicurezza verificate."
/chi-siamo,about,produttore case dell'acqua,Chi siamo: produttore italiano di case dell'acqua,Chi Siamo | Produttore Case dell'Acqua Artide,143,"Artide srl: produttore italiano di case dell'acqua dal 2003. Oltre 300 installazioni attive, 240.000 litri erogati al giorno. Scopri la storia."
/citazioni-bibliografiche,legal,casa dell'acqua,Citazioni bibliografiche sulle case dell'acqua,Citazioni Bibliografiche | Artide,106,"Fonti scientifiche e normative citate da Artide per case dell'acqua, osmosi inversa, sicurezza alimentare."
/contatti,contact,casa dell'acqua,Contatti Artide: case dell'acqua ed erogatori,Contatti | Artide Case dell'Acqua,125,"Contatta Artide per preventivi case dell'acqua, erogatori, manutenzione e telecontrollo. Rispondiamo entro 24 ore lavorative."
/corsi,service,manutenzione case dell'acqua,Corsi di formazione per case dell'acqua ed erogatori,Corsi Case dell'Acqua | Formazione Artide,127,"Corsi di formazione Artide per operatori e tecnici di case dell'acqua ed erogatori: manutenzione, sanificazione, telecontrollo."
/erogatore-d-acqua,product,erogatore acqua mensa,"Erogatori d'acqua per mense, uffici e condomini","Erogatore Acqua Mensa, Uffici, Condomini | Artide",137,"Erogatori d'acqua Artide con osmosi inversa per mense, uffici e condomini. Depuratore acqua casa di qualità industriale, garanzia a vita."
/faq-casa-dell-acqua,faq,casa dell'acqua,FAQ Casa dell'Acqua: domande e risposte,FAQ Casa dell'Acqua | Artide,128,"Le domande più frequenti sulle case dell'acqua Artide: costi, manutenzione, capitolato, osmosi inversa e tempi di installazione."
/gestore-ambientale,certification,manutenzione case dell'acqua,Artide iscritta all'Albo Gestori Ambientali,Albo Gestori Ambientali | Artide,129,Artide è iscritta all'Albo Nazionale Gestori Ambientali: gestione conforme dei rifiuti derivanti da manutenzione case dell'acqua.
/incasso,service,casa dell'acqua,Incasso contante per case dell'acqua,Incasso Contante Case dell'Acqua | Artide,132,"Servizio di incasso contante per case dell'acqua: svuotamento cassa, conteggio, versamento. Conforme alla normativa antiriciclaggio."
/info-copyright,legal,casa dell'acqua,Informativa Copyright,Copyright | Artide,119,"Informativa copyright del sito Artide: diritti sui contenuti, testi e immagini relativi a case dell'acqua ed erogatori."
/informativa-privacy,legal,casa dell'acqua,Informativa sulla Privacy,Privacy | Artide,114,"Informativa privacy Artide: trattamento dati personali ai sensi del GDPR, cookie policy, diritti dell'interessato."
/iso-14001,certification,casa dell'acqua,ISO 14001: gestione ambientale Artide,ISO 14001 | Gestione Ambientale Artide,130,Artide è certificata ISO 14001 dal 2024: impatto ambientale misurato e ridotto lungo tutto il ciclo di vita della casa dell'acqua.
